0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
-3801.2751,942.2254,233.36115,-264.72244,263.37274,328.93787,-19.522522,257.00903,-100.23108,6.7438164,-163.62631,51.444595,-324.82635,-138.7294,231.35854,-101.32037,93.15468,-12.902237,65.182495,-124.33504,13.857895,-137.54991,118.78586,-4.5309143,46.757812,-94.25232,87.08928,-76.5382,-14.590141,184.96713,-72.45108,-21.897339,-4.46669,46.00226,188.5734,-216.73062,-165.0221,318.73236,-25.035011,86.011475,-45.594566,92.075226,-64.97001,167.29071,-24.573574,102.43532,-141.62671,53.87393,-40.381424,27.932236,-76.35512,14.648781,33.771255,-77.12896,107.74096,-39.73562,37.573906,17.62223,-34.473343,-148.15823,26.618645,2.410736,13.737701,-101.91701,-29.809158,66.744545,-88.74417,-13.738008,-31.77539,168.45882,35.753902,20.938137,-44.164917,-35.118584,-65.82034,77.66875,126.420525,-146.42883,-82.06413,-45.006607,105.07393,19.542328,59.446796,-49.370018,158.65347,-25.072315,11.112198,-98.82599,97.72403,-115.52595,96.90956,-37.39808,32.71904,-13.999474,7.140829,-164.92216,99.72618,-72.14268,66.50459,-67.97426,1
-3260.5686,-322.97977,-487.78186,802.4892,-1341.4657,-2152.7295,-776.9303,-1598.8274,-728.3364,687.4124,-1494.6652,600.0314,1233.3638,-333.4842,1009.1555,108.392525,390.34515,74.30411,-1363.1617,-715.90247,-219.83914,-91.53644,-163.38681,20.02478,96.204025,-112.0437,540.16187,539.65106,-170.61752,-497.424,-76.03552,301.22565,336.05188,278.33398,-305.6253,60.143196,868.9654,-59.557175,-58.7231,7.1406097,-297.54932,162.55583,191.47571,-0.40797424,9.408976,12.728714,110.09111,178.61496,-418.55502,-105.21886,-117.37455,-55.55344,115.28798,280.79565,-243.93988,-7.707657,-15.584259,-129.78186,288.17505,-26.776787,-11.3113785,92.99133,485.65356,-90.88375,-392.54532,-73.83757,-134.37859,-41.888416,-205.04666,-321.4649,136.3511,359.92334,350.02753,-45.47055,392.06604,-311.3625,425.20862,-35.39811,-131.97183,-23.768776,-120.39584,-160.88568,230.57904,-154.50134,-241.6938,-36.623608,69.08371,174.36816,-180.92752,21.426754,74.283844,-336.78992,-263.89532,-115.376114,-166.33296,21.028896,196.23817,-150.24966,-299.96497,-56.598465,8
4786.3755,2131.5515,24.523132,-83.17183,14.446136,-184.289,-91.504974,71.473114,116.53882,15.901337,11.489082,-25.756012,135.98402,80.773346,-19.78164,17.152649,32.564255,-5.7502136,-147.91333,-127.169815,4.1750793,43.785507,-87.1116,121.10901,-51.52202,26.691803,123.26309,-21.148277,-96.15851,-143.37909,-108.43155,-17.591545,106.01594,-13.357269,3.91333,88.23563,86.18669,-15.611298,23.73413,-44.2193,-18.966232,68.401825,7.317898,-20.537872,10.06694,-38.38658,-25.039627,0.71360016,65.34247,-23.165894,-41.726593,76.48253,84.83964,0.06298828,-6.996458,20.911346,49.493088,37.78763,125.82909,27.21952,-41.80133,49.843643,-62.623474,127.89716,99.425095,120.65493,47.452023,32.446095,43.00338,-19.710526,-5.8905563,-18.629593,67.147064,-40.327995,42.791153,-54.01426,-29.545353,70.6808,44.69036,2.8629837,-83.67138,3.9016075,-61.146133,39.552223,15.436268,61.992596,11.315311,-60.203217,-29.148125,-142.8003,38.001793,33.218994,-61.82791,-49.60891,82.87904,-91.07558,-23.385918,-13.525818,-8.232826,-127.84924,5
4644.6895,1883.9083,-99.632935,75.48697,-124.21112,-227.78166,-131.42145,209.75562,335.5744,180.35803,393.0507,139.36255,261.43085,176.50925,58.855602,-135.44719,160.29613,-79.1669,145.26025,-104.36594,277.8675,-118.222626,-105.003784,-112.850586,-62.253113,21.118774,69.09532,-76.51625,30.32846,-45.48783,41.934998,-73.300354,-16.607895,-10.794662,-31.007477,94.54486,66.80145,-102.03287,-65.77475,-93.02197,-11.348389,-18.739906,-6.18272,-39.996063,-5.611412,-75.21786,207.03299,-57.855476,19.01075,67.35797,-12.880964,-19.131119,-23.527817,151.79669,-114.34433,25.925503,-2.7970276,-102.20351,-82.25596,-70.95528,-2.247116,92.44832,-33.212128,122.42036,10.8776245,0.6825962,28.90081,-83.51486,-51.229267,69.05748,36.392395,-157.5849,15.708694,31.375252,75.64191,-161.89597,59.547775,38.964035,259.05048,-115.98606,-34.61232,-59.815376,-78.14221,-59.468758,74.98561,-31.636883,-42.043167,159.97542,143.19127,-130.91902,39.369164,37.539703,81.163315,76.3336,138.96898,35.28157,-96.57359,19.38015,-36.421085,-60.804867,7
-3587.1514,532.50653,-230.85309,-1.1462097,322.8374,-71.02414,109.29181,72.38629,-61.52246,67.5217,56.02555,-118.04524,-183.25964,-11.407837,-69.706,-52.122528,83.88305,17.514435,30.31247,96.507545,28.27974,13.383266,-17.96405,33.31891,48.214966,-48.15805,111.00625,-23.41889,-56.382763,0.6542816,-40.3144,-31.618782,-95.039375,-33.79982,13.051651,100.07536,-40.20345,94.71817,-41.003174,77.49498,-110.69166,-20.025581,-66.08367,27.325104,60.25747,36.16442,81.646904,-11.663982,13.116104,39.087128,84.7463,-124.69925,-65.83789,21.92292,-59.436295,-33.8752,13.159866,-16.274208,8.692471,-25.53573,89.4966,-25.58178,8.067078,-35.249313,-12.44696,-70.57268,-26.591068,90.69024,49.34383,-7.088501,101.44178,-23.392178,41.23318,46.208187,-16.440292,57.33901,41.645966,-12.98687,103.330666,-56.012062,40.609203,63.80526,21.00317,-75.9966,43.721184,-56.14097,-100.87259,-2.9386158,102.92256,-31.57128,-103.226585,57.571693,19.897156,54.618797,-118.88,57.333824,17.863544,100.50748,47.032627,-71.32628,6
-914.2998,-2927.484,3801.3582,-2658.2874,-1519.7852,2394.1594,-2896.8066,1261.0347,213.33148,-1021.07324,-1855.1455,854.65857,-289.47882,-765.75073,988.4657,-308.84256,-163.57716,-1010.32983,-283.10556,-430.33423,351.5171,-1669.0336,431.64896,-498.87622,279.93045,-102.10803,36.008728,194.0813,115.30707,705.0056,139.5705,316.28442,145.5459,8.376053,258.39728,-571.8125,-204.15738,592.922,129.28336,-274.90564,17.074974,316.73053,-807.8858,396.78317,227.91644,554.2603,199.69595,296.0229,-221.70584,-69.55371,203.86792,-473.65033,-333.61493,-14.475365,-605.4268,360.16754,-69.57745,-123.92502,113.26608,-589.90106,-661.8245,133.98041,283.2725,-61.82508,-103.84668,-31.451042,422.9002,-485.125,403.19208,174.25888,255.76868,246.87088,376.6015,-384.03455,106.30747,368.60138,227.73264,15.706234,320.08807,-200.75688,217.03223,-510.6367,197.22427,183.13597,-23.573551,-319.07336,-40.201736,-206.80229,-169.63628,416.81418,199.75748,116.84413,-438.40033,-7.552559,-113.47672,11.230995,42.067406,-332.61194,116.42483,69.20032,6
6608.382,2402.8232,-61.8562,-174.15698,83.44919,98.87268,-62.723633,-72.517395,-34.78775,-86.52512,2.556778,49.83809,37.49185,44.798706,34.1001,-16.40886,-25.32721,38.87506,10.186859,14.632914,-58.69757,48.614746,35.02243,16.987549,-21.585876,19.686981,-13.6423645,-15.546181,7.236,-43.178833,59.44368,37.783592,21.814285,-9.854919,7.7449646,-11.263733,-43.525997,25.897736,62.034607,23.355545,-58.02086,10.636658,41.54859,5.29364,3.1605988,-53.3367,-83.07207,30.69458,-3.5448303,22.725922,-44.477905,48.7442,-5.560951,-7.0529175,7.3493576,16.10225,45.513092,-26.855972,6.1104813,12.71265,14.796875,-7.55217,-35.965576,59.331535,36.587555,-47.751724,-15.580429,14.294209,6.135977,77.59483,15.957428,32.393723,-35.58165,-41.36207,21.418434,-6.193474,13.760391,19.360687,-83.60163,18.107536,18.035843,16.369934,-30.2032,-32.51755,-46.514027,-34.353497,9.850838,-8.758766,5.253578,-41.51523,25.86082,-43.094574,-43.84488,18.148636,35.41619,54.839516,-3.4314327,-30.76014,-10.309132,48.656364,1
-3908.6028,971.87964,69.16919,-222.75076,348.5534,212.61462,271.48663,140.50221,70.29479,129.65358,103.83282,-54.216843,-137.31451,-51.0347,21.830154,-39.21675,180.22118,30.82785,-14.013916,-59.896877,93.490585,-115.07677,165.0969,53.00537,-146.84239,-21.33136,19.976807,-2.7632885,-22.978285,97.07501,36.80783,-72.99553,97.63133,75.666885,7.5497894,87.634224,67.8867,-72.77901,-52.976685,-99.129166,223.72964,-52.69571,21.334888,-51.281723,207.84753,51.47426,-105.0356,110.707214,161.42963,59.494705,32.634483,17.710861,10.229408,-37.513893,-40.46518,57.087173,-102.5856,9.120354,37.843098,73.631454,134.52649,-75.68555,1.5201187,-49.988316,-32.839073,77.74843,107.04753,-36.445614,-4.8026977,16.9133,-63.45024,43.33455,70.92972,-32.423435,48.60176,20.41668,-54.10919,16.335297,-16.111797,88.09864,-79.21678,52.418144,-29.496208,-84.32685,-107.22663,-9.101215,43.66407,-23.981266,21.24414,25.460892,-10.450588,-149.2208,12.201736,-110.404495,8.599073,113.71422,-12.302256,-7.702587,22.106876,44.196625,1
-622.30505,-4149.7964,1082.8182,519.29126,526.71576,42.09771,426.80994,-155.58443,208.79694,86.30493,88.86342,-127.83746,-131.558,-240.02689,142.85852,235.29578,125.28398,-75.5134,-10.880295,-154.58307,9.007904,-84.90796,28.559082,29.126007,-273.65118,-35.537613,-40.20894,-41.948734,200.68335,91.81196,-26.343452,-5.25366,-27.779245,-39.283188,96.6458,-55.789,-57.072006,-24.884354,51.633392,-0.34385872,2.6220474,82.96558,-42.47032,-142.48691,92.92846,-68.92967,64.48738,76.66165,89.22377,49.7146,-37.910336,-60.229675,-33.081345,-45.9909,119.03197,22.62909,-21.095085,-36.215904,-19.404758,105.04988,-10.730408,-56.16954,-14.282265,-41.074596,65.46676,41.71753,88.36251,8.123451,-170.97728,134.89764,27.37363,88.60329,16.718885,63.606575,-19.235931,81.22752,-99.55709,107.523186,-112.52892,77.18778,-86.151726,-126.84305,-64.03191,-45.4374,-67.2059,81.243835,11.242689,-178.09715,-75.4818,5.619068,-0.31873512,-8.927628,-3.3198204,-177.01788,-25.319582,-60.049725,-86.98297,-51.428818,-25.686134,-44.844784,1
-3509.0488,334.4091,220.28851,168.47604,347.99005,-78.27486,121.751495,95.26576,45.79219,69.70277,-42.972137,-50.13439,-48.51001,27.392883,-83.13077,-18.833847,-45.260742,105.74051,-87.19273,19.15627,147.58922,69.06572,-138.28127,111.77132,168.49559,6.7233734,48.728256,-153.74095,67.803314,89.338425,15.809986,-58.97356,227.413,37.50186,84.02415,30.847977,-21.306402,83.41817,98.31696,10.712738,-42.01573,-69.037346,-38.228394,37.613724,-112.098206,-94.1517,-71.594055,-168.12877,87.13071,-178.88977,-52.754284,-97.3463,-116.79683,-18.039505,124.742805,-77.034515,132.56589,-57.432045,-44.448433,-193.27148,-74.14374,20.957077,32.657738,96.2508,-32.259346,190.61588,27.447842,-55.1303,147.27605,-133.42603,-4.7366714,51.469276,-77.423805,-99.31448,-222.61362,-5.3495255,100.25949,54.157654,-40.684967,-26.490307,-91.20409,48.188976,18.580593,-65.96528,83.87982,-103.12062,17.746193,57.913673,27.251495,-37.35032,-56.45462,-12.97472,-53.91869,58.53153,-43.708694,-3.5371666,-75.41818,-3.6533089,-46.74677,2.7826462,3
